CustomerID,CustomerName,Age,Gender,Country,SignupDate,AnnualIncome,Churn,Category_1,Value_2,Metric_3,Category_4,Value_5,Metric_6,Category_7,Value_8,Metric_9,Category_10,Value_11,Metric_12,Category_13,Value_14,Metric_15,Category_16,Value_17,Metric_18,Category_19,Value_20,Metric_21,Category_22,Value_23,Metric_24,Category_25,Value_26,Metric_27,Category_28,Value_29,Metric_30,Category_31,Value_32,Metric_33,Category_34,Value_35,Metric_36,Category_37,Value_38,Metric_39,Category_40,Value_41,Metric_42,Category_43,Value_44,Metric_45,Category_46,Value_47,Metric_48,Category_49,Value_50,Metric_51,Category_52,Value_53,Metric_54,Category_55,Value_56,Metric_57,Category_58,Value_59,Metric_60,Category_61,Value_62,Metric_63,Category_64,Value_65,Metric_66,Category_67,Value_68,Metric_69,Category_70,Value_71,Metric_72,Category_73,Value_74,Metric_75,Category_76,Value_77,Metric_78,Category_79,Value_80,Metric_81,Category_82,Value_83,Metric_84,Category_85,Value_86,Metric_87,Category_88,Value_89,Metric_90,Category_91,Value_92,Metric_93,Category_94,Value_95,Metric_96,Category_97,Value_98,Metric_99,Category_100,Value_101,Metric_102,Category_103,Value_104,Metric_105,Category_106,Value_107,Metric_108,Category_109,Value_110,Metric_111,Category_112,Value_113,Metric_114,Category_115,Value_116,Metric_117,Category_118,Value_119,Metric_120,Category_121,Value_122,Metric_123,Category_124,Value_125,Metric_126,Category_127,Value_128,Metric_129,Category_130,Value_131,Metric_132,Category_133,Value_134,Metric_135,Category_136,Value_137,Metric_138,Category_139,Value_140,Metric_141,Category_142,Value_143,Metric_144,Category_145,Value_146,Metric_147,Category_148,Value_149,Metric_150,Category_151,Value_152,Metric_153,Category_154,Value_155,Metric_156,Category_157,Value_158,Metric_159,Category_160,Value_161,Metric_162,Category_163,Value_164,Metric_165,Category_166,Value_167,Metric_168,Category_169,Value_170,Metric_171,Category_172,Value_173,Metric_174,Category_175,Value_176,Metric_177,Category_178,Value_179,Metric_180,Category_181,Value_182,Metric_183,Category_184,Value_185,Metric_186,Category_187,Value_188,Metric_189,Category_190,Value_191,Metric_192
8270, Jane Smith ,,M,ghana ,2021-01-05,,Yes,,133.6,, medium,,N/A,LOW,122.06,, medium,,N/A, medium,unknown,,High,,42,,unknown,70,LOW,,,,,N/A, medium,unknown,N/A,,139.35,, medium,,N/A,High,,7, medium,unknown,N/A,,,97,High,156.01,,,,N/A, medium,,,,124.88,, medium,,,High,,74, medium,344.12,,LOW,399.42,N/A,,unknown,N/A,LOW,225.66,, medium,27.46,,High,,N/A,LOW,unknown,N/A, medium,unknown,N/A,High,unknown,19,High,313.44,,,254.2,74,,62.12,85,High,,,LOW,312.26,,LOW,unknown,,High,,,LOW,,N/A,High,485.6,,,unknown,,,79.8,,LOW,20.75,N/A,High,136.91,,,unknown,N/A,High,,,,unknown,, medium,unknown,,High,430.2,3,,,,High,,20,,unknown,,,unknown,N/A,High,,N/A, medium,unknown,39, medium,,N/A,,,, medium,,94, medium,,,,,85, medium,288.03,,LOW,34.08,,High,unknown,,LOW,59.12,3,High,,89
1860,MICHAEL Brown,40,female,ghana ,2021-01-05,75k,No,LOW,unknown,,,unknown,,,122.06,39,High,unknown,,,270.51,N/A, medium,unknown,,,409.05,70, medium,292.48,,LOW,302.84,N/A,High,39.45,,High,139.35,,High,unknown,N/A,LOW,,,LOW,,67,,,97,High,,18,High,215.0,N/A,,unknown,,LOW,unknown,, medium,,, medium,325.81,N/A,,unknown,, medium,unknown,54,LOW,unknown,, medium,225.66,N/A,,,N/A, medium,unknown,N/A,High,unknown,,LOW,unknown,,,unknown,19,High,313.44,,LOW,254.2,,,unknown,, medium,,N/A, medium,,N/A,LOW,,N/A,,,,High,,35,High,485.6,,LOW,unknown,94,,,,,20.75,, medium,unknown,, medium,449.54,,High,332.26,, medium,,N/A,LOW,194.3,83, medium,,,High,,,LOW,unknown,, medium,unknown,, medium,unknown,N/A, medium,unknown,38,High,,N/A,LOW,,,LOW,,N/A,High,unknown,,,unknown,, medium,26.47,85, medium,,97,High,,N/A, medium,unknown,N/A,,59.12,N/A, medium,313.09,89
6390, Jane Smith ,40,M,KENYA,14-07-2020,N/A,1, medium,133.6,,High,unknown,16,,unknown,,LOW,unknown,,,,,,,,,409.05,N/A, medium,292.48,,High,302.84,,High,39.45,,LOW,,,LOW,unknown,, medium,14.14,7,,unknown,N/A,LOW,,, medium,,N/A, medium,unknown,N/A,High,447.79,,High,unknown,,,unknown,,LOW,,74,,,N/A,High,399.42,,High,,,LOW,unknown,,LOW,,11,High,,N/A,LOW,,,High,,, medium,89.56,19,LOW,313.44,N/A,High,unknown,,LOW,,N/A, medium,,,LOW,312.26,,LOW,,,,,, medium,unknown,N/A,,485.6,, medium,333.16,94, medium,,10, medium,,N/A,High,unknown,,High,unknown,15,LOW,,96, medium,unknown,N/A,,unknown,N/A,,unknown,3,High,,,LOW,unknown,,LOW,261.85,94,High,unknown,32, medium,338.72,N/A, medium,154.29,, medium,unknown,,,140.32,, medium,209.42,, medium,unknown,,,,,High,,97,LOW,unknown,,,unknown,,High,,N/A, medium,,
6191, Jane Smith ,N/A,,ghana ,,100000,,,unknown,98,LOW,269.7,,High,unknown,N/A, medium,227.49,,LOW,,12,High,unknown,42,LOW,unknown,, medium,292.48,,,,68, medium,,,High,139.35,N/A,,320.3,,,,,High,,,High,unknown,N/A,LOW,156.01,N/A, medium,unknown,N/A,,447.79,,High,124.88,,LOW,,36,LOW,,74, medium,,,LOW,unknown,,High,,N/A,High,,18,High,,N/A,LOW,unknown,6,LOW,152.74,,LOW,unknown,, medium,,N/A,High,313.44,,LOW,,74,,,,LOW,302.73,,High,unknown,N/A,LOW,,,High,76.35,25,High,,35,,485.6,92,LOW,333.16,,High,79.8,N/A,High,,,High,136.91,,LOW,449.54,,LOW,unknown,96,High,,,,194.3,,LOW,430.2,3,LOW,unknown,N/A, medium,unknown,N/A,High,unknown,94,,213.16,32,LOW,unknown,,,,N/A,,333.7,60,LOW,,51,,,94,,,N/A,LOW,unknown,,LOW,unknown,,High,unknown,N/A,,201.06,, medium,59.12,N/A, medium,313.09,
6734, Jane Smith ,30,F,,2022/03/14,50000,No,High,unknown,, medium,269.7,N/A,High,122.06,,High,unknown,48,,unknown,N/A,LOW,129.64,,High,,,LOW,292.48,,High,,,LOW,unknown,89,LOW,unknown,,High,320.3,,LOW,14.14,N/A, medium,397.03,67,High,,,LOW,,,,215.0,N/A,LOW,447.79,N/A,High,124.88,98, medium,223.76,36,,325.81,N/A,LOW,344.12,, medium,,N/A,High,,,LOW,225.66,,High,27.46,,LOW,,6, medium,,,High,145.67,11, medium,unknown,19,High,,,High,254.2,N/A, medium,,N/A,LOW,302.73,30,LOW,,,LOW,,,High,76.35,,,,,High,485.6,, medium,333.16,, medium,unknown,10,High,unknown,18,LOW,136.91,N/A,LOW,,N/A,High,unknown,96,LOW,191.64,,,194.3,N/A,High,,,,,26,High,461.98,,LOW,261.85,N/A,High,213.16,32,LOW,unknown,,High,154.29,,LOW,,N/A,High,140.32,N/A,High,,,,,,,26.47,85, medium,288.03,97,High,,, medium,unknown,,LOW,unknown,,LOW,313.09,
7265,john doe,40,,ghana ,14-07-2020,50000,Yes,LOW,unknown,N/A,LOW,unknown,N/A,High,122.06,,High,unknown,,High,,N/A,,129.64,42,High,,70, medium,292.48,,High,302.84,,LOW,,N/A,LOW,unknown,72, medium,320.3,,High,unknown,,High,397.03,N/A,,,97,,,N/A,,unknown,95,High,,N/A, medium,unknown,98,LOW,unknown,36,LOW,,N/A,,344.12,,,unknown,N/A,LOW,unknown,N/A,High,unknown,,LOW,,11, medium,,,LOW,unknown,41,High,,11,,unknown,, medium,,,,unknown,N/A,,62.12,,LOW,unknown,N/A,High,312.26,33,High,,, medium,76.35,N/A,,418.01,N/A, medium,unknown,92, medium,unknown,N/A, medium,,10, medium,unknown,,LOW,136.91,,,unknown,, medium,,96,,191.64,N/A,LOW,,N/A,,430.2,,LOW,unknown,,High,unknown,N/A,High,,, medium,,N/A, medium,338.72,38, medium,154.29,,High,,,LOW,140.32,51,High,,, medium,unknown,,High,26.47,,LOW,288.03,,,,46,,unknown,N/A,High,unknown,,,313.09,N/A
1466,john doe,40,female,ghana ,,,1, medium,,,LOW,,,LOW,122.06,39,LOW,227.49,N/A, medium,unknown,12,,,N/A,,,,High,292.48,65,,,,,39.45,, medium,,N/A, medium,,N/A,,,N/A, medium,,,,,N/A,,156.01,N/A,,unknown,N/A, medium,447.79,,LOW,unknown,, medium,,N/A,High,325.81,,,unknown,92,LOW,399.42,, medium,331.3,,High,225.66,,LOW,unknown,,High,,,LOW,unknown,41,,unknown,,LOW,unknown,, medium,313.44,, medium,254.2,N/A, medium,,,,302.73,,High,,,High,unknown,N/A,High,unknown,,,unknown,35,,,,LOW,333.16,,,unknown,,High,,, medium,unknown,69,LOW,unknown,15, medium,unknown,N/A, medium,unknown,,High,194.3,,,430.2,,,unknown,,High,461.98,, medium,261.85,N/A,High,,32,LOW,338.72,38, medium,unknown,, medium,unknown,,High,,N/A,LOW,209.42,,LOW,161.02,N/A,,26.47,N/A, medium,,,High,,,LOW,201.06,97,High,,,LOW,unknown,
5426,john doe,30,F,Nigeria,14-07-2020,75k,1, medium,,, medium,,, medium,122.06,N/A,High,,, medium,270.51,,LOW,,,High,unknown,N/A, medium,unknown,65,,unknown,N/A,,39.45,,High,139.35,72,,,60,,unknown,,High,unknown,67,,284.48,,LOW,,18,,,,,,,,unknown,98,High,223.76,,High,325.81,74, medium,344.12,, medium,,54, medium,331.3,,High,,,High,27.46,,,46.11,,High,152.74,N/A,LOW,unknown,,High,unknown,,LOW,unknown,,,,,LOW,62.12,,LOW,302.73,N/A,LOW,,N/A,LOW,326.95,,LOW,76.35,25, medium,418.01,35,High,485.6,92,High,333.16,,High,79.8,,LOW,,N/A,,,,LOW,,,LOW,332.26,N/A,High,unknown,,LOW,unknown,N/A,,unknown,3,LOW,395.26,,High,461.98,,LOW,unknown,94,LOW,,,LOW,,38,LOW,unknown,39,High,,,,,51, medium,209.42,,High,161.02,N/A,LOW,unknown,85,LOW,288.03,,High,,N/A, medium,201.06,N/A,LOW,59.12,, medium,unknown,N/A
6578,MICHAEL Brown,30,M,Nigeria,2022/03/14,,,,,,LOW,269.7,N/A,LOW,,,LOW,,,,unknown,N/A,,,,High,,, medium,,,,unknown,68,LOW,,89,High,unknown,72,,unknown,N/A, medium,14.14,N/A, medium,397.03,67, medium,unknown,97,,unknown,,LOW,unknown,,High,447.79,38,High,,,High,223.76,, medium,325.81,N/A,,,N/A,LOW,unknown,, medium,,23,LOW,,N/A, medium,,N/A,,unknown,,,152.74,, medium,unknown,N/A,LOW,89.56,N/A,LOW,unknown,N/A,LOW,unknown,N/A,LOW,62.12,85,High,302.73,N/A,LOW,unknown,,High,unknown,49, medium,,,LOW,418.01,, medium,unknown,92,,,,,unknown,10,LOW,20.75,, medium,,N/A,,unknown,N/A,,332.26,N/A, medium,unknown,26,LOW,,,High,430.2,N/A,High,,N/A,High,unknown,20, medium,unknown,,,213.16,,LOW,,,,154.29,,LOW,,60,High,140.32,,High,unknown,N/A, medium,161.02,,LOW,unknown,, medium,unknown,N/A, medium,unknown,N/A,,201.06,N/A, medium,59.12,,High,313.09,
9322,,40,F,ghana ,,100000,0,LOW,unknown,,High,,,,,,High,unknown,,,270.51,, medium,unknown,42, medium,409.05,,LOW,,N/A,,302.84,68, medium,39.45,89,High,unknown,,High,320.3,,,unknown,7, medium,,,,284.48,,LOW,,N/A,LOW,215.0,N/A,High,447.79,, medium,unknown,98,,unknown,36,LOW,325.81,,High,344.12,,,unknown,,High,331.3,23,,,N/A, medium,,N/A,LOW,46.11,,High,,,LOW,unknown,,High,,,LOW,313.44,N/A, medium,,, medium,62.12,,LOW,unknown,,LOW,unknown,,LOW,,,High,76.35,,High,,,LOW,,N/A, medium,unknown,, medium,unknown,, medium,20.75,,High,unknown,,,unknown,,LOW,,,High,191.64,26,High,unknown,,LOW,,N/A,,395.26,26,High,461.98,20,High,,,High,,32, medium,unknown,N/A,LOW,154.29,39,,,N/A,High,,,High,unknown,N/A,,161.02,,High,26.47,85,,unknown,, medium,34.08,46, medium,,97,,,, medium,,89
